date,time,corrected_area,calculated_area
13-02-1988,"02:30:00,03:14:00",0.017,0.011624691
14-02-1988,03:55:00,0.017,0.023890419
15-02-1988,02:36:00,0.02,0.011908294
16-02-1988,02:28:00,0.023,0.018294158
17-02-1988,02:15:00,0.016,0.009854125
19-02-1988,"03:07:00,02:17:00",0.022,0.016265047
20-02-1988,02:35:00,0.026,0.019469011
21-02-1988,"02:27:00,04:44:00",0.014,0.017419445
25-02-1988,"02:12:00,03:01:00",0.014,0.015103895
26-02-1988,"02:25:00,04:08:00",0.013,0.012709547
27-02-1988,02:36:00,0.013,0.007448225
02-03-1988,02:16:00,0.016,0.008897803
05-03-1988,02:36:00,0.019,0.011006211
06-03-1988,02:56:00,0.018,0.022030298
07-03-1988,02:56:00,0.018,0.017999751
08-03-1988,"02:46:00,02:46:00",0.018,0.013669619
09-03-1988,02:19:00,0.018,0.013674727
11-03-1988,02:42:00,0.014,0.011681856
12-03-1988,02:35:00,0.017,0.015560369
13-03-1988,02:17:00,0.02,0.010869785
18-03-1988,02:34:00,0.017,0.022355695
19-03-1988,03:19:00,0.016,0.013994107
22-03-1988,03:06:00,0.021,0.013199096
24-03-1988,02:32:00,0.019,0.014418377
25-03-1988,02:10:00,0.021,0.017437926
26-03-1988,02:28:00,0.019,0.022512316
28-03-1988,02:34:00,0.024,0.01547484
01-04-1988,05:42:00,0.026,0.028172678
03-04-1988,02:21:00,0.025,0.012793557
04-04-1988,02:25:00,0.028,0.01198592
14-04-1988,03:32:00,0.027,0.024436486
15-04-1988,02:32:00,0.027,0.017191078
16-04-1988,02:18:00,0.032,0.025228252
18-04-1988,03:01:00,0.025,0.030967932
19-04-1988,02:37:00,0.027,0.027979814
20-04-1988,02:12:00,0.026,0.024194651
21-04-1988,02:23:00,0.023,0.02081721
23-04-1988,02:09:00,0.024,0.017233301
24-04-1988,05:00:00,0.017,0.018058634
28-04-1988,"02:15:00,02:52:00",0.017,0.010794508
29-04-1988,03:15:00,0.016,0.006826597
03-05-1988,02:45:00,0.022,0.010493431
04-05-1988,03:05:00,0.019,0.006041962
06-05-1988,02:44:00,0.023,0.010662965
07-05-1988,02:27:00,0.018,0.016409564
08-05-1988,05:02:00,0.023,0.025923111
09-05-1988,04:28:00,0.025,0.023669997
10-05-1988,04:52:00,0.03,0.012460158
11-05-1988,05:07:00,0.033,0.020318078
12-05-1988,02:30:00,0.028,0.018636588
21-05-1988,03:47:00,0.017,0.010783404
22-05-1988,03:12:00,0.024,0.011140431
23-05-1988,02:34:00,0.02,0.010707465
24-05-1988,02:40:00,0.024,0.007584225
29-05-1988,03:57:00,0.019,0.009859786
01-06-1988,05:21:00,0.032,0.012672504
12-06-1988,03:37:00,0.022,0.015812673
14-06-1988,04:42:00,0.022,0.016922177
15-06-1988,02:57:00,0.021,0.009765328
19-06-1988,02:29:00,0.029,0.01771582
21-06-1988,02:53:00,0.02,0.013553905
24-06-1988,02:16:00,0.028,0.019427996
28-06-1988,03:06:00,0.031,0.02265212
29-06-1988,02:56:00,0.029,0.012649207
30-06-1988,02:36:00,0.027,0.017830438
02-07-1988,03:17:00,0.025,0.01553685
03-07-1988,04:31:00,0.027,0.022601678
04-07-1988,02:27:00,0.029,0.016934744
11-07-1988,01:58:00,0.019,0.009054201
06-08-1988,02:34:00,0.025,0.01264745
14-08-1988,03:40:00,0.022,0.022070664
20-08-1988,03:08:00,0.022,0.01931841
26-08-1988,03:21:00,0.035,0.015226466
01-09-1988,04:55:00,0.037,0.034696128
04-09-1988,02:04:00,0.041,0.012954897
16-09-1988,06:11:00,0.024,0.01557967
20-09-1988,05:56:00,0.03,0.022816726
27-09-1988,02:46:00,0.033,0.036825523
29-09-1988,03:41:00,0.036,0.033096501
02-10-1988,02:22:00,0.044,0.023608059
03-10-1988,03:15:00,0.038,0.021831567
04-10-1988,01:50:00,0.046,0.027036772
11-10-1988,04:04:00,0.025,0.017413446
12-10-1988,02:04:00,0.029,0.027665813
14-10-1988,01:50:00,0.027,0.020365367
15-10-1988,02:51:00,0.024,0.014209789
16-10-1988,01:57:00,0.03,0.015075213
17-10-1988,02:11:00,0.024,0.028596974
22-10-1988,02:40:00,0.027,0.024662691
25-10-1988,"03:04:00,02:03:00",0.026,0.024551798
30-10-1988,02:21:00,0.027,0.017311042
02-11-1988,06:13:00,0.027,0.028970148
15-11-1988,03:36:00,0.037,0.033440135
17-11-1988,02:15:00,0.035,0.043156159
20-11-1988,04:00:00,0.024,0.029788942
21-11-1988,02:08:00,0.03,0.033763517
22-11-1988,02:21:00,0.033,0.034061335
23-11-1988,02:03:00,0.031,0.023299076
24-11-1988,03:48:00,0.029,0.019569989
25-11-1988,02:37:00,0.031,0.036233205
30-11-1988,03:29:00,0.024,0.030734345
02-12-1988,02:10:00,0.035,0.026678354
06-12-1988,02:28:00,0.036,0.029078671
09-12-1988,03:08:00,0.037,0.029192446
10-12-1988,03:43:00,0.033,0.036578411
12-12-1988,02:15:00,0.035,0.030021428
16-12-1988,06:38:00,0.041,0.03594096
17-12-1988,02:11:00,0.036,0.016986034
18-12-1988,02:48:00,0.044,0.03655789
20-12-1988,06:32:00,0.045,0.020993825
22-12-1988,03:17:00,0.044,0.040138232
23-12-1988,03:52:00,0.048,0.035561683
